
data dictionary


Num	Data Element Name	Data Element Sensitivity	How is the Data Element Obtained?	How is the Data Element stored?	What is the purpose for processing the data element?	How often is the data element updated?	Who has access to the data element?	How long is the data retained?	How is the data element disposed of?	Notes
1	Username	Personal Data	End User (admin creates accounts)	SQLCipher-encrypted database (users.db)	Authentication & access control	As needed (admin creates/deletes users)	Administrator	Indefinitely (until admin deletes user)	Manual deletion by admin; factory reset wipes DB	Stored in users table, username column (TEXT UNIQUE). DB encrypted with per-device PBKDF2-derived 256-bit key.
2	Password Hash	Sensitive Personal Data	End User (set at account creation / password change)	SQLCipher-encrypted database	Authentication - verifying user identity	As needed (password change/reset)	No one (hash is one-way; verified via constant-time comparison)	Indefinitely (until user changes password or is deleted)	Overwritten on password change; factory reset wipes DB	Argon2id (t=2, m=19456KB, p=1) with 16-byte random salt. PBKDF2-SHA256 fallback (100K iterations).
3	User Role	Non-Sensitive Data	System (admin assigns at creation)	SQLCipher-encrypted database	Authorization - role-based access control (RBAC)	As needed (admin changes role)	Administrator	Indefinitely	Factory reset	Integer: 0=Admin, 1=Operator, 2=Viewer. Controls API access and UI visibility.
4	Last Login IP Address	Personal Data	System (captured automatically at login)	SQLCipher-encrypted database	Security auditing - detect unauthorized access	Every successful login	Administrator	Indefinitely (overwritten each login)	Factory reset	Single IP stored per user (most recent only). IPv4 or IPv6 format.
5	Last Login Timestamp	Non-Sensitive Data	System (captured automatically at login)	SQLCipher-encrypted database	Security auditing	Every successful login	Administrator	Indefinitely	Factory reset	Unix epoch (seconds).
6	Failed Login Attempts & Lockout	Non-Sensitive Data	System (incremented on failed auth)	SQLCipher-encrypted database	Brute-force protection	Every failed login attempt	System (internal use)	Until successful login or lockout expires	Reset to 0 on successful login; factory reset	5 failed attempts = 15-minute lockout. failed_attempts (int) + locked_until (Unix timestamp).
7	Session Token	Non-Personal Sensitive Data	System (generated at login)	SQLCipher-encrypted database (users.db, sessions table)	Session management - authenticate API requests	Every login (new token created)	Specific authenticated user	24 hours (auto-expired)	Automatic deletion (60-min cleanup interval); logout deletes immediately	Opaque 64-char hex string (32 random bytes via RAND_bytes). Also stored: user_id, username, role, IP, user_agent, created_at, expires_at.
8	Security Question Answers	Sensitive Personal Data	End User (set during initial setup)	SQLCipher-encrypted database (users.db)	Password recovery - forgot-password flow	At initial setup; can be updated	No one (answers are Argon2id-hashed, same as passwords)	Indefinitely (until user deleted)	Factory reset	1-5 answers per user, each hashed independently. 5 predefined questions.
9	Password Reset Token	Non-Personal Sensitive Data	System (generated after security question verification)	SQLCipher-encrypted database (users.db)	One-time password reset authorization	On forgot-password request	System (internal use)	15 minutes (auto-expired)	Automatic (expired tokens cleaned up; used tokens marked)	64-char hex opaque token. Single-use flag. All outstanding tokens invalidated on successful login.
10	WSSE Password (ONVIF)	Non-Personal Sensitive Data	System (derived from user password at creation/change)	SQLCipher-encrypted database (users.db, onvif_wsse_passwords table)	ONVIF WS-Security digest authentication (requires recoverable password)	Every password change	System (ONVIF service internal use)	Indefinitely (until user deleted)	Factory reset	AES-256-GCM encrypted with device-derived key. Format: aes256gcm:<iv>:<ciphertext>:<tag>. Legacy XOR format auto-migrated.
